"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Sider\Sider.module.css", "PostCSS", 0, 0, 45, 0, 7, 9, 61
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Sider\SiderMenu.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 1, 82
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Sider\SiderMenu.module.css", "PostCSS", 0, 0, 36, 0, 0, 7, 43
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\Button.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\Button.module.css", "PostCSS", 0, 0, 9, 0, 0, 3, 12
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\ButtonLogin.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 2, 8
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\ErrorBlock.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 1, 12
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\Input.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 2, 13
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\LoadingIndicator.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 1, 13
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UI\Modal.jsx", "JavaScript JSX", 0, 27, 0, 0, 12, 3, 42
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\ButtonUserInfo.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\ButtonUserInfo.module.css", "PostCSS", 0, 0, 9, 0, 0, 2, 11
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\Greeting.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 4, 29
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\Greeting.module.css", "PostCSS", 0, 0, 23, 0, 3, 8, 34
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserInformation.jsx", "JavaScript JSX", 0, 291, 0, 0, 13, 24, 328
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserInformation.module.css", "PostCSS", 0, 0, 91, 0, 5, 21, 117
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserOrderList.jsx", "JavaScript JSX", 0, 62, 0, 0, 7, 7, 76
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserOrderList.module.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\cartContext.jsx", "JavaScript JSX", 0, 112, 0, 0, 9, 15, 136
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\favContext.jsx", "JavaScript JSX", 0, 80, 0, 0, 2, 11, 93
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\headerContext.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 4, 21
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\loginContext.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 3, 16
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\userContext.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 3, 12
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\hooks\useLogout.js", "JavaScript", 15, 0, 0, 0, 0, 4, 19
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\hooks\useQueryParams.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\index.css", "PostCSS", 0, 0, 354, 0, 28, 66, 448
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\main.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 2, 14
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\About.jsx", "JavaScript JSX", 0, 180, 0, 0, 19, 7, 206
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Bill\Bill.jsx", "JavaScript JSX", 0, 105, 0, 0, 5, 11, 121
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Contact.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 2, 8
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\FavFood\FavFood.jsx", "JavaScript JSX", 0, 52, 0, 0, 6, 4, 62
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\FoodDetail.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 12, 66
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Home.jsx", "JavaScript JSX", 0, 11, 0, 0, 1, 2, 14
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Login.jsx", "JavaScript JSX", 0, 162, 0, 0, 8, 11, 181
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Login.module.css", "PostCSS", 0, 0, 35, 0, 0, 7, 42
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Logout.js", "JavaScript", 0, 0, 0, 0, 15, 4, 19
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Menu.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 2, 17
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\MenuDetailError.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 4, 21
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\MenuDetails.jsx", "JavaScript JSX", 0, 74, 0, 0, 168, 45, 287
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 294, 0, 0, 5, 17, 316
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Register\Register.module.css", "PostCSS", 0, 0, 40, 0, 1, 6, 47
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Root.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 4, 57
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\ShoppingCart\ShoppingCart.jsx", "JavaScript JSX", 0, 38, 0, 0, 14, 8, 60
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Table\Table.jsx", "JavaScript JSX", 0, 234, 0, 0, 33, 30, 297
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\UserInfo\UserInfo.jsx", "JavaScript JSX", 0, 94, 0, 0, 9, 14, 117
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\admin\ManageUsers.jsx", "JavaScript JSX", 0, 157, 0, 0, 6, 14, 177
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\services\restaurantOrdering.js", "JavaScript", 9, 0, 0, 0, 0, 4, 13
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\const.js", "JavaScript", 4, 0, 0, 0, 1, 3, 8
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\http.js", "JavaScript", 25, 0, 0, 0, 0, 5, 30
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\util.js", "JavaScript", 67, 0, 0, 0, 10, 20, 97
"Total", "-", 203, 4527, 1441, 1, 825, 877, 7874
