Date : 2024-12-12 19:29:03
Directory : d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src
Total : 91 files,  6172 codes, 825 comments, 877 blanks, all 7874 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserInformation.module.css | PostCSS        |         91 |          5 |         21 |        117 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserOrderList.jsx          | JavaScript JSX |         62 |          7 |          7 |         76 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\UserInformation\UserOrderList.module.css   | PostCSS        |          0 |          0 |          1 |          1 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\cartContext.jsx                               | JavaScript JSX |        112 |          9 |         15 |        136 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\favContext.jsx                                | JavaScript JSX |         80 |          2 |         11 |         93 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\headerContext.jsx                             | JavaScript JSX |         17 |          0 |          4 |         21 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\loginContext.jsx                              | JavaScript JSX |         13 |          0 |          3 |         16 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\context\userContext.jsx                               | JavaScript JSX |          9 |          0 |          3 |         12 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\hooks\useLogout.js                                    | JavaScript     |         15 |          0 |          4 |         19 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\hooks\useQueryParams.js                               | JavaScript     |          6 |          0 |          3 |          9 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\index.css                                             | PostCSS        |        354 |         28 |         66 |        448 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\main.jsx                                              | JavaScript JSX |         12 |          0 |          2 |         14 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\About.jsx                                       | JavaScript JSX |        180 |         19 |          7 |        206 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Bill\Bill.jsx                                   | JavaScript JSX |        105 |          5 |         11 |        121 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Contact.jsx                                     | JavaScript JSX |          6 |          0 |          2 |          8 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\FavFood\FavFood.jsx                             | JavaScript JSX |         52 |          6 |          4 |         62 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\FoodDetail.jsx                                  | JavaScript JSX |         54 |          0 |         12 |         66 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Home.jsx                                        | JavaScript JSX |         11 |          1 |          2 |         14 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Login.jsx                                       | JavaScript JSX |        162 |          8 |         11 |        181 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Login.module.css                                | PostCSS        |         35 |          0 |          7 |         42 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Logout.js                                       | JavaScript     |          0 |         15 |          4 |         19 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Menu.jsx                                        | JavaScript JSX |         15 |          0 |          2 |         17 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\MenuDetailError.jsx                             | JavaScript JSX |         17 |          0 |          4 |         21 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\MenuDetails.jsx                                 | JavaScript JSX |         74 |        168 |         45 |        287 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Register\Register.jsx                           | JavaScript JSX |        294 |          5 |         17 |        316 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Register\Register.module.css                    | PostCSS        |         40 |          1 |          6 |         47 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Root.jsx                                        | JavaScript JSX |         53 |          0 |          4 |         57 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\ShoppingCart\ShoppingCart.jsx                   | JavaScript JSX |         38 |         14 |          8 |         60 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\Table\Table.jsx                                 | JavaScript JSX |        234 |         33 |         30 |        297 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\UserInfo\UserInfo.jsx                           | JavaScript JSX |         94 |          9 |         14 |        117 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\pages\admin\ManageUsers.jsx                           | JavaScript JSX |        157 |          6 |         14 |        177 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\services\restaurantOrdering.js                        | JavaScript     |          9 |          0 |          4 |         13 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\const.js                                        | JavaScript     |          4 |          1 |          3 |          8 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\http.js                                         | JavaScript     |         25 |          0 |          5 |         30 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\utils\util.js                                         | JavaScript     |         67 |         10 |         20 |         97 |
| Total                                                                                                                   |                |      6,172 |        825 |        877 |      7,874 |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
